gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3462809368	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/926820ad-2887-4499-a74b-7410ae0eb071_image.jpg										© All rights reserved	Paul Shimmings
3462809368	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/2/228a93bd-8263-4f5d-a22b-c5fb6ff60058_image.jpg										© All rights reserved	Paul Shimmings
3460137445	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/1fbed1ba-8673-4f5e-ba6b-ff6f75f8c3ea_image.jpg										http://creativecommons.org/licenses/by/4.0/	Are Nakrem
3460076413	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/3b671837-bc43-46d6-b216-7530af592733_image.jpg										http://creativecommons.org/licenses/by-nc-sa/4.0/	Kjell Larsen
3451438407	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/0c2c72e7-2a8a-4d62-b33f-a9ec39c914be_image.jpg										© All rights reserved	Wictor Wahlberg
3451438407	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/a55b57e1-8247-4160-9190-6efbc239e965_image.jpg										© All rights reserved	Wictor Wahlberg
3451438407	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/465dc695-e2d4-4587-9ec3-d97df4579072_image.jpg										© All rights reserved	Wictor Wahlberg
3451438407	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/0eaeaa0a-3d90-4517-ac43-f3c834e74661_image.jpg										© All rights reserved	Wictor Wahlberg
3429012466	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/04f88c37-dd47-42c0-b053-59579b8cb0bd_image.jpg										© All rights reserved	Helge Berge
3428999517	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/ba950a97-fca2-4efe-8187-62a3ba3c34ee_image.jpg										© All rights reserved	Stig Gaarden
3428894480	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2022/1/c3b38dc9-004b-449b-bf45-0f968359ce6c_image.jpg										© All rights reserved	Helge Berge
